id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region
19143,K8T8,small_airport,San Geronimo Airpark,29.51049995,-98.79840088,1040,NA,US,US-TX
19144,K8U2,small_airport,Schafer USFS Airport,48.07963,-113.243294,4855,NA,US,US-MT
19145,K8U6,small_airport,Terry Airport,46.77709961,-105.3130035,2283,NA,US,US-MT
19146,K8U8,small_airport,Townsend Airport,46.33119965,-111.4830017,3893,NA,US,US-MT
19147,K8V1,small_airport,Astronaut Kent Rominger Airport,37.71360016,-106.3539963,7949,NA,US,US-CO
19148,K8V2,small_airport,Stuart Atkinson Municipal Airport,42.561742,-99.038444,2130,NA,US,US-NE
19149,K8V3,small_airport,Parkston Municipal Airport,43.377579,-97.989848,1415,NA,US,US-SD
19150,K8V7,small_airport,Springfield Municipal Airport,37.458698,-102.617996,4390,NA,US,US-CO
19151,K8W2,small_airport,New Market Airport,38.655683,-78.708995,975,NA,US,US-VA
19152,K8WC,small_airport,Washington County Airport,37.92919922,-90.73149872,959,NA,US,US-MO
19153,K8Y6,small_airport,Leaders Clear Lake Airport,45.443693,-93.970343,990,NA,US,US-MN
19154,K90F,small_airport,Jewel B Callaham Municipal Airport,34.014,-94.758598,404,NA,US,US-OK
19155,K91,small_airport,Horton Municipal Airport,39.67919922,-95.53359985,1134,NA,US,US-KS
19156,K91F,small_airport,Arrowhead Airport,35.15629959,-95.62129974,851,NA,US,US-OK
19157,K92F,small_airport,Chattanooga Sky Harbor Airport,34.368698,-98.682098,1135,NA,US,US-OK
19158,K93C,small_airport,Richland Airport,43.28340149,-90.2983017,742,NA,US,US-WI
19159,K93F,small_airport,Mignon Laird Municipal Airport,35.60749817,-99.70469666,2084,NA,US,US-OK
19160,K93Y,small_airport,David City Municipal Airport,41.23089981,-97.12290192,1617,NA,US,US-NE
19161,K94E,small_airport,Whiskey Creek Airport,32.759404,-108.209624,6126,NA,US,US-NM
19162,K94K,small_airport,Cassville Municipal Airport,36.69739914,-93.90049744,1482,NA,US,US-MO
19163,K94R,small_airport,Gav Air Airport,29.2661,-96.007698,90,NA,US,US-TX
19164,K95D,small_airport,Beulah Airport,47.25080109,-101.814003,1791,NA,US,US-ND
19165,K95E,small_airport,Stallion Army Air Field,33.814598,-106.643715,4925,NA,US,US-NM
19166,K95F,small_airport,Cleveland Municipal Airport,36.28379822,-96.46330261,912,NA,US,US-OK
19167,K96,small_airport,Tuscola Airport,39.780899,-88.306198,665,NA,US,US-IL
19168,K96D,small_airport,Walhalla Municipal Airport,48.94060135,-97.90280151,953,NA,US,US-ND
19169,K97M,small_airport,Ekalaka Airport,45.87779999,-104.5370026,3503,NA,US,US-MT
19170,K98,small_airport,Allison Municipal Airport,42.76390076,-92.80439758,1053,NA,US,US-IA
19171,K98D,small_airport,Onida Municipal Airport,44.70080185,-100.1009979,1874,NA,US,US-SD
19172,K99N,small_airport,Bamberg County Airport,33.30450058,-81.10839844,231,NA,US,US-SC
19173,K99V,small_airport,Crawford Airport,38.703736,-107.646983,6470,NA,US,US-CO
19174,K9A0,small_airport,Lumpkin County Wimpys Airport,34.582838,-84.019918,1311,NA,US,US-GA
19175,K9A1,small_airport,Covington Municipal Airport,33.63249969,-83.84960175,809,NA,US,US-GA
19176,K9A4,small_airport,Lawrence County Airport,34.659401,-87.348801,588,NA,US,US-AL
19177,K9A5,small_airport,Barwick Lafayette Airport,34.68859863,-85.29039764,777,NA,US,US-GA
19179,K9C8,small_airport,Evart Municipal Airport,43.89590073,-85.27919769,1018,NA,US,US-MI
19180,K9D0,small_airport,Highmore Municipal Airport,44.54159927,-99.44619751,1854,NA,US,US-SD
19181,K9D1,small_airport,Gregory Municipal Airport - Flynn Field,43.22169876,-99.40329742,2168,NA,US,US-SD
19182,K9D2,small_airport,Harding County Airport,45.58060074,-103.5299988,2889,NA,US,US-SD
19183,K9D4,small_airport,Deck Airport,40.35179901,-76.32959747,523,NA,US,US-PA
19184,K9D7,small_airport,Cando Municipal Airport,48.47999954,-99.23590088,1481,NA,US,US-ND
19185,K9D9,small_airport,Hastings Airport,42.66360092,-85.34629822,801,NA,US,US-MI
19186,K9F0,small_airport,Dublin Municipal Airport,32.068049,-98.325774,1495,NA,US,US-TX
19187,K9F8,small_airport,Hoven Municipal Airport,45.257599,-99.797798,1884,NA,US,US-SD
19188,K9F9,small_airport,Sycamore Strip,32.62850189,-97.35359955,760,NA,US,US-TX
19189,K9G2,small_airport,Prices Airport,42.807598,-83.769897,920,NA,US,US-MI
19190,K9G3,small_airport,Akron Airport/Jesson Field,43.021099,-78.482498,840,NA,US,US-NY
19191,K9G8,small_airport,Ebensburg Airport,40.461201,-78.7752,2099,NA,US,US-PA
19193,K9K7,small_airport,Ellsworth Municipal Airport,38.75040054,-98.22930145,1615,NA,US,US-KS
19194,K9K8,small_airport,Kingman Airport Clyde Cessna Field,37.66899872,-98.12390137,1607,NA,US,US-KS
19195,K9L2,small_airport,Edwards Af Aux North Base Airport,34.99079895,-117.862999,2299,NA,US,US-CA
19196,K9M4,small_airport,Ackerman Choctaw County Airport,33.30172,-89.227352,552,NA,US,US-MS
19197,K9M6,small_airport,Kelly Airport,32.8492012,-91.40390015,112,NA,US,US-LA
19198,K9M8,small_airport,Sheridan Municipal Airport,34.327419,-92.351289,232,NA,US,US-AR
19199,K9S2,small_airport,Scobey Airport,48.80770111,-105.439003,2432,NA,US,US-MT
19200,K9S4,small_airport,Mineral County Airport,47.16830063,-114.8539963,2787,NA,US,US-MT
19201,K9S5,small_airport,Three Forks Airport,45.87810135,-111.5690002,4089,NA,US,US-MT
19202,K9S9,small_airport,Lexington Airport,45.454102,-119.690001,1634,NA,US,US-OR
19203,K9U0,small_airport,Turner Airport,48.85419846,-108.4089966,3049,NA,US,US-MT
19204,K9U3,small_airport,Austin Airport,39.467708,-117.197576,5730,NA,US,US-NV
19205,K9U4,small_airport,Dixon Airport,41.03829956,-107.4970016,6520,NA,US,US-WY
19206,K9U7,small_airport,Currant Ranch Airport,38.73600006,-115.4800034,5181,NA,US,US-NV
19207,K9V5,small_airport,Modisett Airport,42.736485,-102.444291,3751,NA,US,US-NE
19208,K9V6,small_airport,Martin Municipal Airport,43.16559982,-101.7129974,3293,NA,US,US-SD
19209,K9V7,small_airport,Eads Municipal Airport,38.478479,-102.810869,4245,NA,US,US-CO
19210,K9V9,small_airport,Chamberlain Municipal Airport,43.76610184,-99.32129669,1695,NA,US,US-SD
19211,K9X1,closed,North Houston Airport,30.1534,-95.321999,122,NA,US,US-TX
19212,K9Y1,small_airport,Weydahl Field,47.39279938,-102.7710037,2256,NA,US,US-ND
19213,KA08,small_airport,Vaiden Field,32.51240158,-87.38559723,225,NA,US,US-AL
19214,KA09,small_airport,Eagle Airpark,34.887533,-114.616638,485,NA,US,US-AZ
19215,KA20,small_airport,Sun Valley Airport,35.00876,-114.566052,725,NA,US,US-AZ
